CustomerID,Sex,Age,AccountDuration,AccountType,AverageMonthlySpending,InvestmentAccounts,FixedDeposits,MutualFunds,StockInvestments,BondInvestments,BalancedFunds,TaxSavings,TradingAccounts,SpecialtyFunds,CustomerStatus
10001,Male,49,10,Checking,894.23,Yes,No,No,No,No,Yes,No,No,No,Active
10002,Male,55,4,Savings,827.57,Yes,Yes,Yes,No,Yes,No,No,No,No,Active
10003,Female,52,10,Checking,3232.19,Yes,No,Yes,No,No,No,Yes,No,Yes,Churned
10004,Male,62,5,Checking,1084.61,Yes,No,No,No,No,No,Yes,No,No,Active
10005,Female,72,5,Savings,1188.77,No,No,No,No,No,No,No,No,No,Active
10006,Male,74,7,Savings,3472.07,No,No,No,No,No,No,No,No,No,Active
10007,Male,64,6,Checking,722.11,No,No,No,No,No,No,No,No,No,Active
10008,Male,41,5,Savings,2747.88,No,No,No,No,No,No,No,No,No,Active
10009,Female,54,3,Savings,2616.62,No,No,No,No,No,No,No,No,No,Active
10010,Male,49,6,Fixed Deposit,288.09,Yes,No,No,No,Yes,No,No,No,No,Inactive
10011,Female,22,7,Checking,747.98,No,No,No,No,No,No,No,No,No,Active
10012,Female,71,7,Savings,3145.79,Yes,No,No,Yes,No,Yes,No,No,No,Active
10013,Female,53,6,Checking,1130.94,Yes,No,No,No,Yes,Yes,No,No,Yes,Active
10014,Male,28,8,Checking,3126.34,No,No,No,No,No,No,No,No,No,Active
10015,Male,29,8,Checking,826.27,No,No,No,No,No,No,No,No,No,Churned
10016,Female,59,5,Savings,1855.74,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Active
10017,Female,56,4,Fixed Deposit,354.3,Yes,No,No,No,No,No,No,No,Yes,Active
10018,Female,41,5,Checking,767.39,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Active
10019,Female,18,5,Checking,2812.24,No,No,No,No,No,No,No,No,No,Active
10020,Male,28,4,Checking,705.22,No,No,No,No,No,No,No,No,No,Active
10021,Male,48,6,Savings,2651.32,Yes,No,No,No,Yes,No,No,No,No,Active
10022,Female,38,5,Savings,3035.4,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Active
10023,Female,73,6,Checking,2356.65,Yes,No,Yes,Yes,Yes,No,No,No,No,Active
10024,Female,33,7,Checking,2747.82,Yes,No,Yes,No,No,No,No,No,No,Active
10025,Female,51,11,Savings,2492.22,Yes,No,No,No,Yes,Yes,No,No,No,Active
10026,Male,28,3,Fixed Deposit,991.26,Yes,No,No,No,No,Yes,No,Yes,No,Active
10027,Female,42,6,Checking,3057.12,Yes,No,No,Yes,No,No,No,No,No,Active
10028,Male,49,4,Savings,1069.6,Yes,No,Yes,No,Yes,No,No,No,No,Active
10029,Female,61,10,Savings,2608.28,Yes,No,No,No,No,No,No,No,Yes,Active
10030,Female,65,10,Checking,2593.82,Yes,No,No,No,Yes,No,No,No,Yes,Active
10031,Male,28,7,Savings,977.24,No,No,No,No,No,No,No,No,No,Active
10032,Female,45,5,Savings,1826.14,No,No,No,No,No,No,No,No,No,Active
10033,Male,65,5,Savings,2537.15,No,No,No,No,No,No,No,No,No,Active
10034,Male,54,5,Savings,3387.88,Yes,Yes,Yes,No,No,No,No,No,Yes,Active
10035,Female,42,7,Investment,6685.69,No,No,No,No,No,No,No,No,No,Active
10036,Female,20,7,Checking,2601.88,No,No,No,No,No,No,No,No,No,Churned
10037,Female,74,6,Fixed Deposit,629.07,Yes,No,No,No,Yes,Yes,No,Yes,No,Active
10038,Female,69,3,Savings,2514.84,Yes,No,Yes,No,Yes,No,Yes,No,No,Active
10039,Female,38,3,Savings,2129.49,No,No,No,No,No,No,No,No,No,Active
10040,Female,69,7,Savings,2210.38,No,No,No,No,No,No,No,No,No,Active
10041,Male,37,3,Checking,3470.44,No,No,No,No,No,No,No,No,No,Active
10042,Male,32,9,Savings,3086.72,Yes,Yes,No,No,No,No,No,Yes,No,Active
10043,Male,60,3,Savings,3081.0,No,No,No,No,No,No,No,No,No,Active
10044,Male,73,11,Checking,1078.87,Yes,No,No,No,No,No,Yes,No,No,Active
10045,Female,50,6,Checking,1699.17,Yes,No,No,Yes,No,No,No,No,No,Active
10046,Male,33,3,Savings,1004.58,No,No,No,No,No,No,No,No,No,Active
10047,Male,40,3,Investment,1643.51,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Active
10048,Male,51,6,Savings,3005.98,Yes,Yes,No,Yes,No,Yes,No,No,No,Active
10049,Female,74,13,Savings,769.17,Yes,No,No,No,Yes,No,Yes,No,Yes,Active
10050,Male,25,9,Checking,1832.27,No,No,No,No,No,No,No,No,No,Active
10051,Male,42,5,Savings,1678.42,Yes,Yes,No,No,No,No,Yes,No,Yes,Active
10052,Female,49,1,Checking,2223.45,No,No,No,No,No,No,No,No,No,New
10053,Female,56,3,Savings,582.86,No,No,No,No,No,No,No,No,No,Active
10054,Male,67,7,Checking,2644.8,No,No,No,No,No,No,No,No,No,Active
10055,Female,22,7,Savings,2259.88,No,No,No,No,No,No,No,No,No,Active
10056,Female,63,6,Fixed Deposit,377.1,Yes,No,Yes,No,No,No,No,No,No,Active
10057,Male,73,7,Checking,2288.23,Yes,No,No,No,Yes,No,Yes,No,Yes,Active
10058,Male,31,2,Checking,2054.81,No,No,No,No,No,No,No,No,No,Active
10059,Female,69,6,Checking,2254.95,Yes,No,No,No,Yes,Yes,No,No,No,Active
